"mercaptopurine","S=c1nc[nH]c2nc[nH]c12","1","DILIST"
"acetaminophen","CC(=O)Nc1ccc(O)cc1","1","DILIST"
"azathioprine","Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12","1","DILIST"
"chlorpheniramine","CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1","0","DILIST"
"clofibrate","CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1","1","DILIST"
"cyclophosphamide","O=P1(N(CCCl)CCCl)NCCCO1","1","DILIST"
"dopamine","NCCc1ccc(O)c(O)c1","0","DILIST"
"estradiol","CC12CCC3c4ccc(O)cc4CCC3C1CCC2O","1","DILIST"
"fluoxetine","CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1","1","DILIST"
"gemfibrozil","Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1","1","DILIST"
"indomethacin","COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1","1","DILIST"
"ketoprofen","CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1","1","DILIST"
"mannitol","OCC(O)C(O)C(O)C(O)CO","0","DILIST"
"methotrexate","CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1","1","DILIST"
"phenobarbital","CCC1(c2ccccc2)C(=O)NC(=O)NC1=O","1","DILIST"
"phenytoin","O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1","1","DILIST"
"rifampin","COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C","1","DILIST"
"tetracycline","CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12","1","DILIST"
"abacavir","Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1","1","DILIST"
"aciclovir","Nc1nc2c(ncn2COCCO)c(=O)[nH]1","1","DILIST"
"allopurinol","O=c1[nH]cnc2[nH]ncc12","1","DILIST"
"amineptine","O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21","1","DILIST"
"amiodarone","CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1","1","DILIST"
"amitriptyline","CN(C)CCC=C1c2ccccc2CCc2ccccc21","1","DILIST"
"amphotericin b","CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O","1","DILIST"
"ampicillin","CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O","1","DILIST"
"donepezil","COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2","1","DILIST"
"aspirin","CC(=O)Oc1ccccc1C(=O)O","1","DILIST"
"aminohippurate","Nc1ccc(C(=O)NCC(=O)O)cc1","0","DILIST"
"bicalutamide","CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1","1","DILIST"
"bupropion","CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1","1","DILIST"
"captopril","CC(CS)C(=O)N1CCCC1C(=O)O","1","DILIST"
"carbamazepine","NC(=O)N1c2ccccc2C=Cc2ccccc21","1","DILIST"
"carboplatin","O=C(O)C1(C(=O)O)CCC1.[NH2-].[NH2-].[Pt+2]","1","DILIST"
"ceftazidime","CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O","1","DILIST"
"chlorcyclizine","CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1","1","DILIST"
"chlorzoxazone","O=c1[nH]c2cc(Cl)ccc2o1","1","DILIST"
"chlorpromazine","CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21","1","DILIST"
"dimercaprol","OCC(S)CS","0","DILIST"
"colchicine","COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2","0","DILIST"
"corticotropin","CSCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C)C(C)C)C(C)C","0","DILIST"
